assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,interestPaidThroughDate,currentDelinquencyStatus,primaryLoanServicerName,subvented.1,reportingPeriodModificationIndicator,modificationTypeCode,paymentExtendedNumber,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,servicerAdvancedAmount,zeroBalanceCode,assetSubjectDemandIndicator,repurchaseAmount,chargedoffPrincipalAmount,recoveredAmount,repossessedIndicator,repossessedProceedsAmount,originalInterestOnlyTermNumber,X..i..,modificationTypeCode.1,zeroBalanceEffectiveDate,originatorName_clean,originalInterestRatePercentage_clean,obligorGeographicLocation_clean,obligorCreditScore_clean,lender_state_n,paymentToIncomePercentage_clean,credit_score_cat,originalLoanTerm_char,loan_term_cat
SPONSOR,998989999995708544,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,04/2020,34814.1,76,07/2026,0.0499,1,1,05/2020,true,1,2,0,TOYOTA,RAV4,1,2020,3,30811,2,CREDIT BUREAU,755,2,2,true,0.0616,SC,false,72,1,33991.01,541.28,0.0499,0.0499,0,0,141.46,399.82,0,33579.49,541.28,541.28,129.76,411.52,0,07-17-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0499,SC,755,2196,0.0616,Super-Prime,76,73-78 months
SPONSOR,998989999995721856,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,03/2020,34490.96,74,04/2026,0.069,1,1,05/2020,true,2,2,1,TOYOTA,C-HR,1,2019,3,30215,2,CREDIT BUREAU,597,2,2,false,0.1217,NC,false,69,1,33807.33,588.04,0.069,0.069,0,0,193.84,392.53,0,33410.49,586.38,588.04,191.2,396.84,0,07-02-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.069,NC,597,3571,0.1217,Fair,74,73-78 months
SPONSOR,998989999995699968,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,05/2020,21751.91,76,08/2026,0.0769,1,1,06/2020,true,1,2,0,TOYOTA,CAMRY HYBR,1,2020,1,31297,2,CREDIT BUREAU,684,2,2,true,0.0717,AL,false,73,1,21576.49,367.37,0.0769,0.0769,0,0,137.94,228.25,0,21363.25,366.19,367.37,154.13,213.24,0,07-24-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0769,AL,684,2793,0.0717,Prime,76,73-78 months
SPONSOR,998989999995685504,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,06/2020,19633.81,73,06/2026,0.1045,1,1,07/2020,true,1,2,0,HYUNDAI,ELANTRA,2,2019,1,13875,98,CREDIT BUREAU,665,2,2,true,0.0631,AL,false,71,1,19633.81,369.8,0.1045,0.1045,0,0,170.97,197.22,0,19516.27,368.2,369.8,252.26,117.54,0,07-21-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1045,AL,665,2793,0.0631,Prime,73,73-78 months
SPONSOR,998989999995674880,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,06/2020,8684.29,62,07/2025,0.1585,1,1,08/2020,true,2,2,0,TOYOTA,COROLLA,2,2013,1,7507,98,CREDIT BUREAU,610,2,2,false,0.0683,NC,false,60,1,8684.29,211.88,0.1585,0.1585,0,0,115.95,94.53,0,8684.29,210.49,0,0,0,0,NA,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1585,NC,610,3571,0.0683,Fair,62,61-66 months
SPONSOR,998989999996583680,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,09/2015,24257,76,03/2022,0.1199,1,1,10/2015,true,1,2,0,TOYOTA,CAMRY,1,2015,1,25681,2,CREDIT BUREAU,612,2,2,false,0.1655,SC,false,20,1,9024.55,431.42,0.1199,0.1199,0,0,75.56,385.58,0,8642.33,461.14,465,82.78,382.22,0,07-22-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1199,SC,612,2196,0.1655,Fair,76,73-78 months
SPONSOR,998989999995851136,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,07/2019,33188.01,77,01/2026,0.1199,1,1,09/2019,true,2,2,0,TOYOTA,CAMRY,1,2019,1,29845,2,CREDIT BUREAU,585,2,2,false,0.1643,AL,false,66,1,31406.55,908.1,0.1199,0.1199,0,22.95,300.31,330.61,0,31198.75,630.93,625,385.5,207.8,31.7,07-21-2020,17,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1199,AL,585,2793,0.1643,Fair,77,73-78 months
SPONSOR,998989999995841920,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,08/2019,54270.99,76,11/2025,0.0709,1,1,09/2019,true,1,2,0,TOYOTA,SEQUOIA 4X,1,2019,3,55371,2,CREDIT BUREAU,646,2,2,true,0.1727,SC,false,64,1,49224.16,712.02,0.0709,0.0709,0,0,285.62,612.21,0,47547.8,897.84,2000,305.14,1676.36,18.5,07-13-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0709,SC,646,2196,0.1727,Non-Prime,76,73-78 months
SPONSOR,998989999995848320,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,07/2019,29254.3,76,10/2025,0.0999,1,1,08/2019,true,1,2,0,TOYOTA,CAMRY,1,2019,1,26646,2,CREDIT BUREAU,616,2,2,false,0.1617,AL,false,63,1,26379.34,1051.98,0.0999,0.0999,0,0,216.57,309.41,0,26083.75,525.98,525.99,230.4,295.59,0,07-07-2020,2,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0999,AL,616,2793,0.1617,Fair,76,73-78 months
SPONSOR,998989999995824000,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,09/2019,24469.69,76,12/2025,0.1199,1,1,10/2019,true,1,2,0,TOYOTA,COROLLA,1,2020,1,21267,2,CREDIT BUREAU,604,2,2,true,0.1612,SC,false,65,1,22491.93,467.48,0.1199,0.1199,0,0,223.83,241.35,0,22252.87,465.18,467.48,228.42,239.06,0,07-27-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1199,SC,604,2196,0.1612,Fair,76,73-78 months
